Std,ID,Material,Su,Sy,A5,Bhn,E,G,mu,Ro
ANSI,BFE334ACA0B54774859C664D0E3426AB,Yellow Brass C85800,379,207,15,,100000,37000,0.34,8500
ANSI,DE3571FA018D40DCAF02BC37995A5363,Manganese Bronze C86100,655,345,20,,120000,45000,0.31,8800
ANSI,4FD004DD88A4473183268E6E46EAE803,Manganese Bronze C86200,655,331,20,,120000,45000,0.31,8800
ANSI,28162DEB693D4A308083CCA71154EF44,Manganese Bronze C86300,793,572,15,,120000,45000,0.31,8800
ANSI,ACC010BBCB3E454E97BF8A4C4E3CC68C,Manganese Bronze C86400,448,172,20,,120000,45000,0.31,8800
ANSI,5CFBDD9CC5CC4DA5958A7A687DD79517,Manganese Bronze C86500,490,193,30,,120000,45000,0.31,8800
ANSI,48D71221F8034321AFCDF00564E7EE5E,Manganese Bronze C86700,586,290,20,,120000,45000,0.31,8800
ANSI,2A00A95E6A7346C09D15CE4A04792CB8,Manganese Bronze C86800,565,262,22,,120000,45000,0.31,8800
ANSI,BFBDD1F0C3134BE38D0F28016F8C2EB7,Silicon Brass C87200,379,172,30,,120000,45000,0.31,8800
ANSI,543461221FE44E8892BD2EAABA2C454B,Silicon Bronze C87400,379,165,30,,120000,45000,0.31,8800
ANSI,06423909CD5E4B179CE6A6F996E2C553,Silicon Bronze C87500,462,207,21,,120000,45000,0.31,8800
ANSI,A4FEDB7FBA8B4AC590AA9563FD3D184F,Silicon Bronze C87600,455,221,20,,120000,45000,0.31,8800
ANSI,139BCFF222284DBD98BAA9E3F857BB56,Silicon Bronze C87800,586,345,25,,120000,45000,0.31,8800
ANSI,85923B91FFE5458286C4CB03007E6211,Silicon Bronze C87900,483,241,25,,120000,45000,0.31,8800
ANSI,B254908C64FD4FEC8043D0EC958A5787,Tin Bronze C90200,262,110,30,,120000,45000,0.31,8800
ANSI,3F835BA072C846D8909CCB0913244F68,Tin Bronze C90300,310,145,30,,120000,45000,0.31,8800
ANSI,D853C626418E4F92AC4CA6DD96300058,Tin Bronze C90500,310,152,25,,120000,45000,0.31,8800
ANSI,168BB968EE264903AF3F5CF520FC04B7,Tin Bronze C90700,303,152,20,,120000,45000,0.31,8800
ANSI,FDA4A4CF34C3484089B5C890AE92A129,Tin Bronze C90900,276,138,15,,120000,45000,0.31,8800
ANSI,C19D25CCB1694F929A72BF66861D3185,Tin Bronze C91000,221,172,2,,120000,45000,0.31,8800
ANSI,ADF81B163E9E47BBB5FBFC742B0DD5DA,Tin Bronze C91100,241,172,2,,120000,45000,0.31,8800
ANSI,34F910C00BDB47C7BE63F86065FCE685,Tin Bronze C91300,241,207,0.5,,120000,45000,0.31,8800
ANSI,653438ABB233404C846F4A75BB658CDA,Tin Bronze C91600,303,152,16,,120000,45000,0.31,8800
ANSI,44C1B61500B7478FAFA99E1F94505A59,Tin Bronze C91700,303,152,16,,120000,45000,0.31,8800
ANSI,B6DC3EA524CE4DF890E15A703E481415,Leaded Tin Bronze C92200,276,138,30,,120000,45000,0.31,8800
ANSI,5922217CDFA04199B1611AF54C155E32,Leaded Tin Bronze C92300,276,138,25,,120000,45000,0.31,8800
ANSI,E8DC0675A7AE4CF1AF0F7A407140E88D,Leaded Tin Bronze C92500,303,138,20,,120000,45000,0.31,8800
ANSI,C90F115B8C8049999FF4D66D1E627DB0,Leaded Tin Bronze C92600,303,138,30,,120000,45000,0.31,8800
